,有價證券代號,有價證券名稱,有價證券別,產業別,發行日
125,1419,新紡,股票,紡織纖維,1977/03/14
126,1423,利華,股票,紡織纖維,1979/04/02
127,1432,大魯閣,股票,貿易百貨業,1982/07/26
128,1434,福懋,股票,紡織纖維,1985/12/24
129,1435,中福,股票,其他業,1987/12/28
130,1436,華友聯,股票,建材營造業,1988/04/11
131,1437,勤益控,股票,其他業,1988/11/10
132,1438,三地開發,股票,建材營造業,1988/12/15
133,1439,中和,股票,紡織纖維,1989/05/22
134,1440,南紡,股票,紡織纖維,1989/10/03
135,1441,大東,股票,紡織纖維,1989/10/27
136,1442,名軒,股票,建材營造業,1989/11/16
137,1443,立益,股票,紡織纖維,1990/04/21
138,1444,力麗,股票,紡織纖維,1990/08/08
139,1445,大宇,股票,紡織纖維,1991/02/05
140,1446,宏和,股票,紡織纖維,1991/10/15
141,1447,力鵬,股票,紡織纖維,1992/01/28
142,1449,佳和,股票,紡織纖維,1992/03/12
143,1451,年興,股票,紡織纖維,1992/12/21
144,1452,宏益,股票,紡織纖維,1992/12/28
145,1453,大將,股票,紡織纖維,1993/04/19
146,1454,台富,股票,紡織纖維,1993/05/07
147,1455,集盛,股票,紡織纖維,1993/10/07
148,1456,怡華,股票,紡織纖維,1993/12/09
149,1457,宜進,股票,紡織纖維,1994/10/20
150,1459,聯發,股票,紡織纖維,1994/10/26
151,1460,宏遠,股票,紡織纖維,1995/04/28
152,1463,強盛,股票,紡織纖維,1996/12/05
153,1464,得力,股票,紡織纖維,1997/01/18
154,1465,偉全,股票,紡織纖維,1997/09/08
155,1466,聚隆,股票,紡織纖維,1998/04/04
156,1467,南緯,股票,紡織纖維,1998/12/21
157,1468,昶和,股票,紡織纖維,1999/01/21
158,1470,大統新創,股票,紡織纖維,1999/05/21
159,1471,首利,股票,電子零組件業,2000/03/06
160,1472,三洋紡,股票,紡織纖維,2000/09/11
161,1473,台南,股票,紡織纖維,2000/09/11
162,1474,弘裕,股票,紡織纖維,2000/10/31
163,1475,業旺,股票,紡織纖維,2000/10/27
164,1476,儒鴻,股票,紡織纖維,2001/04/18
165,1477,聚陽,股票,紡織纖維,2003/01/21
166,1503,士電,股票,電機機械,1969/12/15
167,1504,東元,股票,電機機械,1973/11/05
168,1506,正道,股票,電機機械,1980/08/11
169,1507,永大,股票,電機機械,1989/11/09
170,1512,瑞利,股票,汽車工業,1994/01/28
171,1513,中興電,股票,電機機械,1994/03/08
172,1514,亞力,股票,電機機械,1994/03/26
173,1515,力山,股票,電機機械,1995/02/04
174,1516,川飛,股票,其他業,1995/04/01
175,1517,利奇,股票,電機機械,1995/11/14
176,1519,華城,股票,電機機械,1997/04/16
177,1521,大億,股票,汽車工業,1997/10/06
178,1522,堤維西,股票,汽車工業,1997/10/06
179,1524,耿鼎,股票,汽車工業,1998/10/30
180,1525,江申,股票,汽車工業,1999/05/15
181,1526,日馳,股票,電機機械,2000/03/27
182,1527,鑽全,股票,電機機械,2000/06/21
183,1528,恩德,股票,電機機械,2000/09/11
184,1529,樂士,股票,電機機械,2000/09/11
185,1530,亞崴,股票,電機機械,2000/09/11
186,1531,高林股,股票,電機機械,2000/09/11
187,1532,勤美,股票,電機機械,2000/09/11
188,1533,車王電,股票,汽車工業,2001/04/06
189,1535,中宇,股票,電機機械,2001/09/17
190,1536,和大,股票,汽車工業,2001/09/17
191,1537,廣隆,股票,電機機械,2002/01/22
192,1538,正峰,股票,電機機械,2002/08/26
193,1539,巨庭,股票,電機機械,2002/10/29
194,1540,喬福,股票,電機機械,2002/08/26
195,1541,錩泰,股票,電機機械,2003/03/19
196,1558,伸興,股票,電機機械,2014/12/23
197,1560,中砂,股票,電機機械,2005/01/31
198,1568,倉佑,股票,汽車工業,2014/05/14
199,1582,信錦,股票,電子零組件業,2009/12/17
200,1583,程泰,股票,電機機械,2008/01/24
201,1587,吉茂,股票,汽車工業,2018/04/16
202,1589,永冠-KY,股票,電機機械,2012/04/27
203,1590,亞德客-KY,股票,電機機械,2010/12/13
204,1592,英瑞-KY,股票,汽車工業,2014/10/16
205,1597,直得,股票,電機機械,2020/12/23
206,1598,岱宇,股票,生技醫療業,2016/09/20
207,1603,華電,股票,電器電纜,1968/06/03
208,1604,聲寶,股票,電器電纜,1970/12/14
209,1605,華新,股票,電器電纜,1972/11/03
210,1608,華榮,股票,電器電纜,1988/07/11
211,1609,大亞,股票,電器電纜,1988/12/12
212,1611,中電,股票,電器電纜,1990/01/16
213,1612,宏泰,股票,電器電纜,1993/05/08
214,1614,三洋電,股票,電器電纜,1997/09/18
215,1615,大山,股票,電器電纜,2000/03/30
216,1616,億泰,股票,電器電纜,2000/09/11
217,1617,榮星,股票,電器電纜,2000/09/11
218,1618,合機,股票,電器電纜,2000/09/11
